Wetland,Date,uTHg,fTHg,pTHg,uMeHg,fMeHg,pMeHg,Units
Yolo,2014-04-01,4434.087583889516,-4.761136143581762,4461.627049006346,-20.81924131818201,-4.17408463669938,-16.645156681482643,ng/day/m2
Yolo,2014-05-01,3045.8163694987993,-15.408078959844488,3077.9013386255333,-16.366666365458087,-3.383870176018068,-12.982796189440027,ng/day/m2
Yolo,2014-06-01,1280.4371580065272,-90.35156024864523,1307.4486856419896,-6.494692501814068,-3.8447291700314636,-2.779348879271428,ng/day/m2
Yolo,2014-07-01,758.9985151789976,-114.58253661517394,790.5976314036527,-3.7102161054067277,-3.14376589335069,-0.9737491398083518,ng/day/m2
Yolo,2014-09-01,-2091.4236932954823,-101.67176171592374,-1989.7519315795575,-28.65794516124393,-16.870218170645312,-12.558560366903473,ng/day/m2
Yolo,2014-10-01,-2870.1205872100695,-111.64041434082944,-2846.496426738655,-30.351490884868024,-16.28443249620796,-14.583190548004529,ng/day/m2
Yolo,2014-11-01,-4448.540463570702,-110.58424703804104,-4616.287440765589,-24.619437553555677,-11.252360173928533,-13.367077379627142,ng/day/m2
Yolo,2014-12-01,-5558.256530372913,-67.63021444935681,-5931.098656016112,-21.137243250675624,-10.935418826147094,-10.201824424528521,ng/day/m2
Yolo,2015-01-01,-1620.3632367421417,-284.0308047877135,-1336.3324319544283,-82.81069998518242,-21.118228140211382,-61.69247184497104,ng/day/m2
Yolo,2015-02-01,-647.9370328912128,-50.57710831848041,-597.3599245727319,-24.979303950050646,2.8244473257061236,-27.803751275756785,ng/day/m2
Yolo,2015-03-01,-573.0770212457925,-11.89702053849749,-488.11419087662006,1.1635170778956077,4.07079523173834,-2.907278153842726,ng/day/m2
Yolo,2015-04-01,494.6281343724105,-57.12320750084503,562.1686080846492,-11.848647734986125,-0.0644734671125707,-11.83959446213206,ng/day/m2
Yolo,2015-05-01,1150.8224488732603,-112.17903083249702,1230.8715491498422,3.3951332493012507,-0.6028618590178856,3.6623419489738454,ng/day/m2
Blacklock,2015-06-01,-10737.906467007451,-522.3175209241361,-10113.930955159247,9.561439221515727,9.784604093364399,0.7168169059499493,ng/day/m2
Blacklock,2015-07-01,-6480.832127493289,-260.0490892646996,-6173.622717515046,31.4790073792937,12.679548318094348,19.95135389664087,ng/day/m2
Blacklock,2015-08-01,-1317.8516614009222,-20.870985915231365,-1325.319026416644,51.995033269563756,12.451096852255965,39.721546093982056,ng/day/m2
Blacklock,2015-09-01,754.111149168502,131.93675537397067,516.5702617682355,73.29871044825997,11.10859084633009,60.0115989656942,ng/day/m2
Blacklock,2015-10-01,-8274.067981376938,-255.86168576346725,-8037.67903998981,-75.287557521868,-30.310304961391946,-45.38065641207637,ng/day/m2
Blacklock,2015-11-01,-8816.123747460624,-297.2026263605663,-8518.921121100062,-94.52682539759942,-33.740979100201535,-60.78584629739787,ng/day/m2
Blacklock,2015-12-01,-7169.739238316023,-9.14969885431295,-7050.587719817237,-113.93497872784168,-40.392890186207616,-73.54208854163413,ng/day/m2
Blacklock,2016-01-01,-3906.4816322207266,224.86648345220206,-3945.5260637286387,-94.92968509473322,-37.643438100193165,-57.286246994540086,ng/day/m2
Blacklock,2016-02-01,-8066.318594559927,-359.19301587490554,-7563.474473444585,-88.16127696274414,-37.91003584378977,-49.621838110870385,ng/day/m2
Blacklock,2016-03-01,-16417.68365782646,-1053.5677982654051,-15174.7621551131,-95.65988408177986,-44.936710093740025,-50.38475764998585,ng/day/m2
Blacklock,2016-04-01,-23200.290771042208,-4184.681216589456,-19043.192016927318,-106.05834265765274,-56.686822057657906,-50.302903905113425,ng/day/m2
Blacklock,2016-05-01,-26970.768940776215,-833.1289749800824,-26147.714489290414,-113.78181169520282,-19.664441791986867,-95.9196183316141,ng/day/m2
Blacklock,2016-06-01,-16387.158997375634,-1261.2533650150979,-14994.873018609413,-30.662839817383464,-8.893131150144608,-21.22131204674307,ng/day/m2
North Lindsey,2016-12-01,262.07025229714924,202.99190885396595,34.30300725624129,2.341886753045867,5.109455998684421,-2.763793714564126,ng/day/m2
North Lindsey,2017-06-01,-466.30109560279624,114.7500959124099,-546.4705339912109,-45.35067014616504,-31.597362619916844,-13.534037314012428,ng/day/m2
North Lindsey,2017-08-01,35.326213298549476,-25.98570913442014,62.01844669894057,-8.25886548115882,-8.808358020973179,1.0487854879983696,ng/day/m2
North Lindsey,2017-09-01,204.0364546132646,24.43791002375327,180.19526007026087,2.2721615554915635,-1.7316467070328943,4.204605049022742,ng/day/m2
North Lindsey,2017-10-01,236.72112501133927,34.218809134908746,202.50231587643063,7.169036144016263,2.98494428109866,4.19281737028588,ng/day/m2
North Lindsey,2017-11-01,147.04836137229873,45.24477456328817,102.17541139216108,9.032448467574735,5.517782130218457,3.5408132531423635,ng/day/m2
North Lindsey,2017-12-01,124.51004479076806,71.39019545616497,59.20996470845703,3.198584082648456,5.644921943946736,-2.43297356887132,ng/day/m2
North Lindsey,2018-01-01,131.26814700303788,45.73740450189549,85.13245947592422,3.4761329857721375,7.772624109925933,-4.290513538589296,ng/day/m2
North Lindsey,2018-02-01,124.34945582823258,31.690207670328988,89.27207924192712,3.9347813411392587,8.194547423670633,-4.2597660825313675,ng/day/m2
North Lindsey,2018-03-01,45.57863737361565,18.790989223141178,13.787529525118043,-5.281568546632463,-4.224156745773575,8.276220055242305,ng/day/m2
North Lindsey,2018-04-01,136.6394985326902,11.941898283713803,142.9963026676516,-5.850804010345777,-4.189763970009678,4.567834131434698,ng/day/m2
North Lindsey,2018-05-01,-69.00745928922048,-51.12396057602796,8.162281529740525,-18.61906346146278,-10.686650314497362,-7.834276565936777,ng/day/m2
North Lindsey,2018-06-01,-105.98964362807631,-112.96711036064936,-7.7388968018896485,-36.91044322796246,-34.499601046435274,-2.1426696089015653,ng/day/m2
Cosumnes,2018-07-01,2103.365302437863,-67.92569451952579,2118.3946218694737,10.531514366053404,-1.1564805203448099,11.687994886398219,ng/day/m2
Cosumnes,2018-08-01,1295.3468315221987,-1.1049327380795562,1251.5688149909806,8.888559091565494,-0.010951817382664368,8.706624395330659,ng/day/m2
Cosumnes,2018-09-01,275.31323787887436,65.07064883295041,192.03351782273913,3.40857273676207,1.1282684757032078,2.0982135488270184,ng/day/m2
Cosumnes,2018-10-01,339.48340595562826,100.27034366131696,269.3143987173188,-1.852970757166804,-1.9111580428107096,0.058187285643906884,ng/day/m2
Cosumnes,2018-11-01,-60.22099810461397,-3.017305442471927,-21.93776326467451,-70.71728299479712,-37.33026135189445,-33.387021642902646,ng/day/m2
Cosumnes,2018-12-01,-103.93978935023911,-25.822092097625823,-46.39290964776171,-96.490374000995,-50.33286793464678,-46.15750606634817,ng/day/m2
Cosumnes,2019-01-01,-830.0336347933364,-370.3191371238181,-456.13524872886586,-127.90596733334701,-63.63774061424395,-64.26822671910314,ng/day/m2
Cosumnes,2019-02-01,-3767.382764793742,-1808.5005400315733,-1958.8822247621715,-331.23173873375816,-182.63926515949876,-148.5924735742595,ng/day/m2
Cosumnes,2019-06-01,10661.06245847195,895.6688484580553,9853.434815508384,445.2973145370364,99.92271636477668,346.25501022720454,ng/day/m2
Cosumnes,2019-07-01,9359.41049504005,308.7144871935658,9066.833099953832,252.39092910421363,29.474826559183068,222.42606695229412,ng/day/m2
